return,volatility
0.013495899082723885,0.08435312444628529
0.014693038933951331,0.08435828188093727
0.015890178785178777,0.08437375228742872
0.017087318636406224,0.08439952999466661
0.01828445848763367,0.08443560556237169
0.019481598338861116,0.08448196579833901
0.02067873819008856,0.08453859378250006
0.021875878041316008,0.08460546889768376
0.023073017892543454,0.08468256686694636
0.0242701577437709,0.08476985979731406
0.025467297594998346,0.08486731622975509
0.02666443744622579,0.08497490119517505
0.027861577297453238,0.08509257627620523
0.029058717148680684,0.0852202996745339
0.03025585699990813,0.08535802628351051
0.031452996851135576,0.085505707765734
0.032650136702363025,0.08566329263532473
0.03384727655359047,0.08583072634456135
0.03504441640481791,0.08600795137455726
0.03624155625604536,0.08619490732963851
0.03743869610727281,0.08639153103508046
0.03863583595850025,0.08659775663785468
0.039832975809727694,0.08681351571003482
0.041030115660955144,0.08703873735450993
0.04222725551218259,0.08727334831265376
0.043424395363410036,0.08751727307360387
0.04462153521463748,0.08777043398480629
0.04581867506586493,0.08803275136349123
0.04701581491709238,0.0883041436087505
0.04821295476831983,0.08858452731389901
0.04941009461954726,0.08887381737881266
0.05060723447077471,0.08917192712194628
0.05180437432200216,0.08947876839174973
0.05300151417322961,0.08979425167721268
0.054198654024457046,0.09011828621728425
0.055395793875684496,0.09045078010892803
0.056592933726911945,0.09079164041358911
0.057790073578139395,0.09114077326186575
0.05898721342936683,0.09149808395619392
0.06018435328059428,0.09186347707137002
0.06138149313182173,0.09223685655275266
0.06257863298304918,0.0926181258120005
0.06377577283427661,0.0930071878202194
0.06497291268550406,0.09340394519840751
0.06617005253673151,0.09380830030510197
0.06736719238795896,0.09422015532114564
0.0685643322391864,0.09463941233150676
0.06976147209041385,0.0950659734040978
0.0709586119416413,0.09549974066555281
0.07215575179286875,0.0959406163739351
0.07335289164409618,0.09638850298835881
0.07455003149532363,0.0968433032355259
0.07574717134655108,0.09730492017313411
0.07694431119777853,0.09777325725031809
0.07814145104900597,0.09824821836490108
0.07933859090023342,0.09872970791773478
0.08053573075146087,0.09921763086401877
0.08173287060268832,0.09971189276169465
0.08293001045391576,0.10021239981695992
0.0841271503051432,0.1007190589269593
0.08532429015637065,0.10123177771971555
0.0865214300075981,0.10175046459136702
0.08771856985882553,0.10227502874078158
0.08891570971005298,0.10280538020162126
0.09011284956128043,0.10334142987193291
0.09130998941250788,0.103883089541344
0.09250712926373533,0.10443027191594251
0.09370426911496277,0.10498289064092307
0.09490140896619022,0.10554086032108075
0.09609854881741767,0.10610409653923486
0.0972956886686451,0.10667251587266607
0.09849282851987255,0.10724603590764861
0.0996899683711,0.1078245752521597
0.10088710822232745,0.10840805354684757
0.1020842480735549,0.10899639147433841
0.10328138792478234,0.1095895107669608
0.10447852777600979,0.11018733421296632
0.10567566762723724,0.11078978566132165
0.10687280747846467,0.11139679002514741
0.10806994732969212,0.1120082732838762
0.10926708718091957,0.11262416248420119
0.11046422703214702,0.11324438573988355
0.11166136688337447,0.11386887223048649
0.1128585067346019,0.1144975521991003
0.11405564658582935,0.11513035694912133
0.1152527864370568,0.11576721884014488
0.11644992628828424,0.11640807128303195
0.11764706613951169,0.11705284873420393
0.11884420599073914,0.1177014866892213
0.12004134584196659,0.11835392167569683
0.12123848569319404,0.1190100912455938
0.12243562554442147,0.11966993396695627
0.12363276539564892,0.1203333894151175
0.12482990524687637,0.12100039816342956
0.1260270450981038,0.12167090177355554
0.12722418494933124,0.12234484278536398
0.1284213248005587,0.12302216470646338
0.12961846465178614,0.12370281200141131
0.1308156045030136,0.12438673008063342
0.13201274435424104,0.12507386528908318
0.13320988420546848,0.12576416489467349
0.13440702405669594,0.1264575770765084
0.13560416390792338,0.12715405091294193
0.1368013037591508,0.1278535363694901
0.13799844361037827,0.12855598428661955
0.1391955834616057,0.1292613463674355
0.14039272331283317,0.12996957516529103
0.1415898631640606,0.13068062407133604
0.14278700301528804,0.13139444730202648
0.1439841428665155,0.1321109998866094
0.14518128271774294,0.13283023765460164
0.1463784225689704,0.13355211722327617
0.14757556242019784,0.13427659598517158
0.14877270227142528,0.13500363209563596
0.14996984212265274,0.13573318446041924
0.15116698197388018,0.13646521272332407
0.15236412182510764,0.13719967725392615
0.15356126167633508,0.137942329573171
0.1547584015275625,0.13881100553675163
0.15595554137878997,0.13984965443248842
0.1571526812300174,0.14105452154525344
0.15834982108124485,0.14242138838161164
0.1595469609324723,0.1439456401057113
0.16074410078369974,0.14562233468479902
0.16194124063492718,0.14744627166996074
0.16313838048615464,0.1493834129348458
0.16433552033738208,0.1513706750462455
0.16553266018860954,0.15340431822656775
0.16672980003983698,0.15548252255436512
0.16792693989106441,0.15760352525209545
0.16912407974229188,0.15976562179209794
0.1703212195935193,0.1619671665000414
0.17151835944474678,0.16426675208903202
0.1727154992959742,0.16688338534943875
0.17391263914720165,0.16982341531306908
0.1751097789984291,0.173070361675814
0.17630691884965655,0.17660729716434445
0.17750405870088398,0.18041716756420145
0.17870119855211145,0.18448306402263423
0.17989833840333888,0.18878844532853575
