,U-MVP,L-MVP,U-TP,L-TP
SPY,0.542088522701606,0.0646567525399201,5.194273990164295,0.394248835832272
QQQ,-0.35240668995262414,0.0,-1.5918604986308815,0.0
IWM,-0.10470260145589497,0.0,-1.0403889980244359,0.0
EFA,-0.13572582182258597,5.174985406054019e-17,-0.36342420512786455,0.0
EEM,0.07904167755017635,0.0,-0.5089089038640661,0.0
TLT,-0.5648182139247392,2.38479994615551e-16,-1.353800836664685,0.0
LQD,1.5755696118841374,0.8505693888150957,-0.07023792276547045,0.0
GLD,0.04872363109616587,0.08477385864498412,1.603573908813166,0.605751164167728
VNQ,-0.08777011607624104,0.0,-0.8692265339000588,0.0
