Date,U-MVP,L-MVP,U-TP,L-TP,Equal
2024-09-19,0.002713543275280956,0.005927953135724853,0.030301032701470432,0.015945713778134005,0.013027570759332073
2024-09-20,0.007076922931563515,0.0030395438514409755,0.045348214183246,0.008872824941607432,-0.0022756721036211016
2024-09-23,-0.0006752411782184847,-6.192405108250933e-05,-0.0008083982843883307,0.00208886336991608,0.0023744512812707715
2024-09-24,0.006364941283608081,0.005606272240621471,-0.024429260980751683,0.01101673201689312,0.007358228865948244
2024-09-25,-0.004420822904512423,-0.004874222813819571,0.031010476090251322,-0.0016007007660099513,-0.005745278339977539
2024-09-26,-8.949323291209711e-05,0.0027990793278479024,-0.05090526733129094,0.004788613355501822,0.008204649535646985
2024-09-27,0.0033797054920341988,0.0008715230527275869,-0.02639700420173022,-0.006212043397479924,-0.0006314892305867119
2024-09-30,-0.0027563314751848866,-0.003687624678346712,0.028059006893875554,-0.004808182554170278,-0.0019626353095751003
2024-10-01,0.008121723985794797,0.005076222375075271,-0.007517848328581914,0.005321731263287789,-0.002293282121916879
2024-10-02,0.0038221660848323964,-0.0006478318655979018,-0.01872276273650657,0.0002617036639738519,0.000462744495780738
2024-10-03,-0.0033659214640469094,-0.005138759551090208,0.038953545194660016,-0.000994057038711208,-0.0062415704813857855
2024-10-04,-0.0012535375378542604,-0.003077121480213546,0.0157418252301706,0.0009498693368511775,0.0028328886293499528
2024-10-07,-0.0018376960379799477,-0.004509522168600566,-0.029573479848979255,-0.004890195369482476,-0.005526207235202836
2024-10-08,-0.0014338013026381435,-0.00047412814242620157,0.051141056373439575,-0.002898843051094999,-0.00032136577386929373
2024-10-09,-9.77836654847872e-05,-0.002184364841497341,0.027816493165515415,-0.0021576658285945675,-2.430401322473613e-05
2024-10-10,0.0025364417159982264,0.0007451639799679711,0.021479268818185383,0.004926055305822709,-0.0015816339789386515
2024-10-11,0.003000843873445067,0.00287413779193607,0.019254238157526162,0.009604384231424937,0.006465639205851735
2024-10-14,-0.0006852440035617643,0.00015909003783027756,0.02303282654316018,0.0009773340272562071,0.0031084824724138347
2024-10-15,0.0004036785522325613,0.0026212283446037563,0.0033353060549853545,0.00048138507284053913,-0.002843756063733788
2024-10-16,0.003289999202732671,0.0038005947462385822,-0.00786237166120616,0.00482747146965307,0.006066360347009366
2024-10-17,-0.001086542332546396,-0.003849912893038329,0.044297022913192,0.004419483440266493,-0.0031719818143125886
2024-10-18,-0.00158365735698971,0.0020901553068585874,0.012049885403479208,0.0088184154939627,0.004734232961577943
2024-10-21,-0.0024418617352015633,-0.007362916752954445,0.055347958385460506,-0.0005825860052716986,-0.009080050889184552
