,return,volatility,sharpe,gross_exposure
U-MVP,0.050668761492179124,0.07065429345600113,0.292533694432176,3.575539227002587
L-MVP,0.015194029545297656,0.09209891240727762,-0.16076162104094924,1.0
U-TP,0.8276649205252472,0.4389262731565089,1.8173095786426576,14.6764475800144
L-TP,0.11415153552117734,0.12027131853012718,0.6996808262320491,1.0
