,annual_return,volatility,sharpe,cagr,total_return,max_drawdown
U-MVP,0.07412944826492868,0.0551658221596464,0.8079080603504368,0.07530294586692259,0.15527747048494467,-0.059322526780508866
L-MVP,0.09135614956054951,0.08270348375123925,0.747194808142915,0.09190770907524035,0.19101510646720365,-0.06719393881266666
U-TP,0.6403089403622442,0.568315258344844,1.0746648018120972,0.6118175410184968,1.5832337695693819,-0.6498515805173815
L-TP,0.2662474694303331,0.18978994343797265,1.2470994471917094,0.28154159743186546,0.6375059349234125,-0.1838165399321844
Equal,0.14549861450475488,0.125498014562344,0.9238240064815397,0.1475439418122888,0.31470135194558013,-0.11483412295698137
