,U-MVP,L-MVP,U-TP,L-TP,Equal
SPY,0.6891597736841539,0.07329974854212522,5.603079477053305,0.2657893432014837,0.1111111111111111
QQQ,-0.41918464042791004,5.731814849242217e-17,-1.5996106131226118,0.0,0.1111111111111111
IWM,-0.09845424240556529,0.0,-0.9412160618853517,0.0,0.1111111111111111
EFA,-0.16793197358302156,0.0,-0.3399003975226735,4.5114219329714046e-17,0.1111111111111111
EEM,0.11006260407792912,0.03954707782975275,-1.7297991629605252,3.5174022451995993e-16,0.1111111111111111
TLT,-0.48331657967220343,1.6600039042315748e-16,-1.127808052690197,3.0095064508075167e-16,0.1111111111111111
LQD,1.3745492884579509,0.6787708723982813,-0.43328964362803624,2.33524496662162e-16,0.1111111111111111
GLD,0.11399794728125932,0.2083823012298406,2.2351443129538966,0.7342106567985155,0.1111111111111111
VNQ,-0.11888217741259303,4.347947173198412e-17,-0.6665998581978066,0.0,0.1111111111111111
