,Asset class,Annual log mean,Annual volatility,Sharpe proxy
SPY,US large-cap,0.12298270996917238,0.17177123608786507,0.5413171150588304
QQQ,Nasdaq-100,0.13803111766578496,0.22969919152490573,0.470315619957554
IWM,US small-cap,0.06211344147286954,0.22411231274766347,0.14329173207465526
EFA,Developed ex-US equity,0.08491798718513796,0.16618165334176493,0.33046961611457215
EEM,Emerging equity,0.07703046059196247,0.1993831956015239,0.2358797613313156
TLT,Long US Treasuries,-0.0865803891191645,0.1571855850016903,-0.7416735390710977
LQD,Investment-grade credit,-0.011411696682660517,0.08656900306906593,-0.4783663345368746
GLD,Gold,0.17989833840333888,0.18878844532853575,0.7940016569471767
VNQ,US REITs,0.011362557442526094,0.18871380557458947,-0.09876035566516844
