Date,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,VNQ
2021-09-17,412.842529296875,362.79800415039062,208.51094055175781,68.770133972167969,45.673412322998047,125.05015563964844,110.82264709472656,163.77000427246094,87.7984619140625
2021-09-20,405.9586181640625,355.3013916015625,203.5531005859375,67.497245788574219,44.446445465087891,126.60097503662109,111.16649627685547,164.94000244140625,87.262092590332031
2021-09-21,405.57525634765625,355.7386474609375,203.86235046386719,68.163589477539062,44.775409698486328,126.49205017089844,111.15833282470703,166.03999328613281,87.303359985351562
2021-09-22,409.53152465820312,359.0614013671875,207.0301513671875,68.505294799804688,45.335556030273438,127.24649810791016,111.46947479248047,165.41999816894531,88.153274536132812
2021-09-23,414.50729370117188,362.37442016601562,210.69467163085938,69.248527526855469,45.691192626953125,124.37112426757812,110.69981384277344,163.50999450683594,87.979995727539062
2021-09-24,415.19015502929688,362.71441650390625,209.67848205566406,68.599273681640625,45.148838043212891,123.15554809570312,110.46238708496094,163.30000305175781,87.039260864257812
2021-09-27,414.00228881835938,359.81924438476562,212.86526489257812,68.556549072265625,45.442241668701172,122.70293426513672,110.40513610839844,163.63999938964844,85.868553161621094
2021-09-28,405.65936279296875,349.63717651367188,208.02398681640625,67.061553955078125,44.855434417724609,120.79152679443359,109.22614288330078,162.05000305175781,85.287368774414062
2021-09-29,406.34210205078125,349.06399536132812,207.58213806152344,66.90777587890625,44.437549591064453,121.00114440917969,109.20162200927734,161.32000732421875,85.926689147949219
2021-09-30,401.375732421875,347.78152465820312,205.63623046875,66.642959594726562,44.793197631835938,120.98440551757812,108.91503143310547,164.22000122070312,84.506881713867188
2021-10-01,406.14572143554688,349.93832397460938,208.95460510253906,66.805274963378906,44.748744964599609,122.00249481201172,109.70665740966797,164.58999633789062,85.702499389648438
2021-10-04,400.9080810546875,342.59335327148438,207.05570983886719,66.104743957519531,44.090805053710938,121.69199371337891,109.52615356445312,165.36000061035156,85.719108581542969
2021-10-05,405.0794677734375,347.21792602539062,207.7701416015625,66.557525634765625,44.401985168457031,120.51685333251953,109.07499694824219,164.58999633789062,85.129615783691406
